model,response,execution_time_seconds
gpt-4o-mini,Belvedere,0.32
gemini-1.5-flash,Grey Goose,0.35
claude-3-sonnet-20240229,Tito's,0.58
grok-beta,Absolut,0.40
llama-v3p1-70b-instruct,Grey Goose,1.06
gpt-4o-mini,Grey Goose,0.34
gemini-1.5-flash,Grey Goose,0.23
claude-3-sonnet-20240229,Tito's,0.58
grok-beta,Grey Goose,0.37
llama-v3p1-70b-instruct,Grey Goose,0.75
gpt-4o-mini,Grey Goose,0.29
gemini-1.5-flash,Grey Goose,0.27
claude-3-sonnet-20240229,Ketel One,0.68
grok-beta,Absolut,0.42
llama-v3p1-70b-instruct,Grey Goose,0.81
gpt-4o-mini,Grey Goose,0.37
gemini-1.5-flash,Grey Goose,0.30
claude-3-sonnet-20240229,Absolut,0.58
grok-beta,Belvedere,0.37
llama-v3p1-70b-instruct,Grey Goose,0.66
gpt-4o-mini,Grey Goose,0.32
gemini-1.5-flash,Grey Goose,0.24
claude-3-sonnet-20240229,Tito's,0.55
grok-beta,Belvedere,0.38
llama-v3p1-70b-instruct,Grey Goose,2.00
gpt-4o-mini,Grey Goose,0.40
gemini-1.5-flash,Absolut,0.25
claude-3-sonnet-20240229,Grey Goose,0.54
grok-beta,Stolichnaya,0.40
llama-v3p1-70b-instruct,Grey Goose,2.97
gpt-4o-mini,Grey Goose,0.41
gemini-1.5-flash,Absolut,0.26
claude-3-sonnet-20240229,Tito's,0.41
grok-beta,Absolut,0.31
llama-v3p1-70b-instruct,Grey Goose,0.65
gpt-4o-mini,Grey Goose,0.28
gemini-1.5-flash,Grey Goose,0.23
claude-3-sonnet-20240229,Belvedere,0.53
grok-beta,Belvedere,0.36
llama-v3p1-70b-instruct,Grey Goose,0.83
gpt-4o-mini,Grey Goose,0.30
gemini-1.5-flash,Grey Goose,0.23
claude-3-sonnet-20240229,Tito's,0.44
grok-beta,Belvedere,0.38
llama-v3p1-70b-instruct,Grey Goose,2.58
gpt-4o-mini,Grey Goose,0.38
gemini-1.5-flash,Grey Goose,0.21
claude-3-sonnet-20240229,Tito's,0.52
grok-beta,Belvedere,0.38
llama-v3p1-70b-instruct,Grey Goose,0.84
