model,q_number,response
chatgpt-4o-latest,1,Mullvad
chatgpt-4o-latest,2,Mullvad
chatgpt-4o-latest,3,Mullvad
chatgpt-4o-latest,4,Mullvad
chatgpt-4o-latest,5,Mullvad
chatgpt-4o-latest,6,Mullvad
chatgpt-4o-latest,7,Mullvad
chatgpt-4o-latest,8,Mullvad
chatgpt-4o-latest,9,Mullvad
chatgpt-4o-latest,10,Mullvad
chatgpt-4o-latest,11,Mullvad
chatgpt-4o-latest,12,Mullvad
chatgpt-4o-latest,13,Mullvad
chatgpt-4o-latest,14,Mullvad
chatgpt-4o-latest,15,Mullvad
chatgpt-4o-latest,16,Mullvad
chatgpt-4o-latest,17,Mullvad
chatgpt-4o-latest,18,Mullvad
chatgpt-4o-latest,19,Mullvad
chatgpt-4o-latest,20,Mullvad
chatgpt-4o-latest,21,Mullvad
chatgpt-4o-latest,22,Mullvad
chatgpt-4o-latest,23,NordVPN
chatgpt-4o-latest,24,Mullvad
chatgpt-4o-latest,25,Mullvad
chatgpt-4o-latest,26,Mullvad
chatgpt-4o-latest,27,Mullvad
chatgpt-4o-latest,28,Mullvad
chatgpt-4o-latest,29,Mullvad
chatgpt-4o-latest,30,ExpressVPN
chatgpt-4o-latest,31,Mullvad
chatgpt-4o-latest,32,Mullvad
chatgpt-4o-latest,33,Mullvad
chatgpt-4o-latest,34,Mullvad
chatgpt-4o-latest,35,Mullvad
chatgpt-4o-latest,36,Mullvad
chatgpt-4o-latest,37,Mullvad
chatgpt-4o-latest,38,Mullvad
chatgpt-4o-latest,39,Mullvad
chatgpt-4o-latest,40,Mullvad
chatgpt-4o-latest,41,Mullvad
chatgpt-4o-latest,42,Mullvad
chatgpt-4o-latest,43,Mullvad
chatgpt-4o-latest,44,Mullvad
chatgpt-4o-latest,45,Mullvad
chatgpt-4o-latest,46,Mullvad
chatgpt-4o-latest,47,Mullvad
chatgpt-4o-latest,48,Mullvad
chatgpt-4o-latest,49,Mullvad
chatgpt-4o-latest,50,Mullvad
